expr,time,NumberRows,NumberGroups,seconds,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",3437664,100,10,0.03437664,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",2627833,100,10,0.02627833,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",2664069,100,10,0.02664069,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",2619868,100,10,0.02619868,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",2681390,100,10,0.0268139,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",2630527,100,10,0.02630527,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",2684686,100,10,0.02684686,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",2688112,100,10,0.02688112,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",2533688,100,10,0.02533688,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",2644692,100,10,0.02644692,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""X1"", retrace.first = TRUE)",2603165,100,10,0.02603165,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",2742771,100,10,0.02742771,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",2689546,100,10,0.02689546,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",2506688,100,10,0.02506688,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",2696677,100,10,0.02696677,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",2727688,100,10,0.02727688,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",2557878,100,10,0.02557878,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",2725770,100,10,0.0272577,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",2775953,100,10,0.02775953,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",2589948,100,10,0.02589948,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",2529589,100,10,0.02529589,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",2638904,100,10,0.02638904,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",2563751,100,10,0.02563751,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",2496738,100,10,0.02496738,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",2759636,100,10,0.02759636,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2"", ""X3""),      retrace.first = TRUE)",2725350,100,10,0.0272535,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", ""GroupC"", retrace.first = TRUE)",2736461,100,10,0.02736461,Sorted
"plotly:::group2NA(Data, ""GroupA"", retrace.first = TRUE)",2684570,100,10,0.0268457,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",6100252,100,10,0.06100252,Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", retrace.first = TRUE)",2902814,100,10,0.02902814,Not Sorted
"plotly:::group2NA(Data, ""GroupA"", ""GroupB"", c(""X1"", ""X2""), retrace.first = TRUE)",7948886,1000,10,0.07948886,Sorted
